"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipDeviceSynchronize",3,135799300,45266433,96.36397271679185
"hipEventSynchronize",4,2782037,695509,1.9741496279075477
"hipMemcpy",3,734595,244865,0.5212728823925581
"hipMalloc",3,687045,229015,0.48753112597199144
"hipHostMalloc",3,395616,131872,0.2807314134191143
"hipLaunchKernel",1,346122,346122,0.245610183297568
"hipHostFree",3,96943,32314,0.0687913163549735
"hipFree",3,37269,12423,0.026446299054428964
"hipEventRecord",4,31760,7940,0.022537080629173412
"hipEventDestroy",2,2404,1202,0.0017058923750797508
"hipGetDeviceProperties",1,2304,2304,0.001634931793753638
"hipDeviceReset",2,1963,981,0.0013929562114315935
"hipEventElapsedTime",2,1512,756,0.001072923989650825
"hipEventCreate",2,1344,672,0.0009537102130229556
"hipSetDevice",5,1242,248,0.0008813304200703205
"__hipPushCallConfiguration",1,1042,1042,0.000739409257418095
"hipGetDeviceCount",2,631,315,0.00044776126816777154
"__hipPopCallConfiguration",1,120,120,8.515269759133531e-05
"hipInit",1,61,61,4.328595460892879e-05
