"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipDeviceSynchronize",3,136091164,45363721,95.84097798680652
"hipEventSynchronize",4,2755738,688934,1.9407036962032762
"hipMemcpy",3,1057015,352338,0.7443933049666935
"hipMalloc",3,1050150,350050,0.7395586904734305
"hipHostMalloc",3,455059,151686,0.32047120709246185
"hipLaunchKernel",1,387030,387030,0.27256239582338887
"hipHostFree",3,101221,33740,0.07128397867772329
"hipFree",3,44594,14864,0.03140492333759193
"hipEventRecord",4,41778,10444,0.02942178066999855
"hipEventDestroy",2,2706,1353,0.0019056761571405066
"hipDeviceReset",2,2114,1057,0.0014887654827032634
"hipGetDeviceProperties",1,2094,2094,0.0014746806626209242
"hipEventElapsedTime",2,1522,761,0.0010718548082660204
"hipEventCreate",2,1413,706,0.0009950925388172711
"hipSetDevice",5,1352,270,0.0009521338375661363
"__hipPushCallConfiguration",1,992,992,0.000698607076084029
"hipGetDeviceCount",2,641,320,0.0004514184836389744
"__hipPopCallConfiguration",1,201,201,0.0001415524418275099
"hipInit",1,60,60,4.2254460247017885e-05
