  StartAddress   AddressRange  #Instructions  Ratio Linkage Visibility  Module                                                             Function                                                                                 FunctionSignature                                                                       
0x7fca0816d1a0          13563           2394   5.67   global    default ../sysdeps/ieee754/float128/e_lgammaf128_r.c                       __ieee754_lgammaf128_r                                                                   __ieee754_lgammaf128_r                                                                  
0x7fca081273a0         299771             10 29977.10    local    default ../sysdeps/ieee754/float128/e_lgammaf128_r.c                       __ieee754_lgammaf128_r.cold                                                              __ieee754_lgammaf128_r.cold                                                             
0x7fca08132010           1004            262   3.83    local    default ../sysdeps/ieee754/ldbl-96/e_gammal_r.c                            gammal_positive                                                                          gammal_positive                                                                         
0x7fca0813208b            881            127   6.94   global    default ../sysdeps/ieee754/ldbl-96/e_gammal_r.c                            targ1908b                                                                                targ1908b                                                                               
0x7fca05e29a10         802446             12 66870.50    local    default ../sysdeps/unix/sysv/linux/x86/sysconf.c                           __GI___sysconf.cold                                                                      __GI___sysconf.cold                                                                     
0x7fca05eed2f0           1526            323   4.72   global    default ../sysdeps/unix/sysv/linux/x86/sysconf.c                           sysconf                                                                                  sysconf                                                                                 
0x7fca081319c0             80             33   2.42    local    default ../sysdeps/x86_64/fpu/e_log10l.S                                   __ieee754_log10l                                                                         __ieee754_log10l                                                                        
0x7fca08131a10             54             23   2.35   global    default ../sysdeps/x86_64/fpu/e_log10l.S                                   __log10l_finite                                                                          __log10l_finite                                                                         
0x7fca081344c0             80             33   2.42    local    default ../sysdeps/x86_64/fpu/e_log2l.S                                    __ieee754_log2l                                                                          __ieee754_log2l                                                                         
0x7fca08134510             54             23   2.35   global    default ../sysdeps/x86_64/fpu/e_log2l.S                                    __log2l_finite                                                                           __log2l_finite                                                                          
0x7fca08131920             92             36   2.56    local    default ../sysdeps/x86_64/fpu/e_logl.S                                     __ieee754_logl                                                                           __ieee754_logl                                                                          
0x7fca08131980             54             23   2.35   global    default ../sysdeps/x86_64/fpu/e_logl.S                                     __logl_finite                                                                            __logl_finite                                                                           
0x7fca05f80320          10982           2138   5.14    local    default ../sysdeps/x86_64/multiarch/memcpy-ssse3-back.S                    __memcpy_chk_ssse3_back                                                                  __memcpy_chk_ssse3_back                                                                 
0x7fca05f80330          10966           2134   5.14    local    default ../sysdeps/x86_64/multiarch/memcpy-ssse3-back.S                    __memcpy_ssse3_back                                                                      __memcpy_ssse3_back                                                                     
0x7fca05f82e10          11046           2151   5.14    local    default ../sysdeps/x86_64/multiarch/memcpy-ssse3-back.S                    __memmove_chk_ssse3_back                                                                 __memmove_chk_ssse3_back                                                                
0x7fca05f82e20          11030           2147   5.14    local    default ../sysdeps/x86_64/multiarch/memcpy-ssse3-back.S                    __memmove_ssse3_back                                                                     __memmove_ssse3_back                                                                    
0x7fca05f80300          11014           2140   5.15    local    default ../sysdeps/x86_64/multiarch/memcpy-ssse3-back.S                    __mempcpy_chk_ssse3_back                                                                 __mempcpy_chk_ssse3_back                                                                
0x7fca05f80310          10998           2136   5.15    local    default ../sysdeps/x86_64/multiarch/memcpy-ssse3-back.S                    __mempcpy_ssse3_back                                                                     __mempcpy_ssse3_back                                                                    
0x7fca05fa3df0           1855            320   5.80    local    default ../sysdeps/x86_64/multiarch/memmove-avx512-no-vzeroupper.S         __memmove_avx512_no_vzeroupper                                                           __memmove_avx512_no_vzeroupper                                                          
0x7fca05fa3de0           1871            324   5.77    local    default ../sysdeps/x86_64/multiarch/memmove-avx512-no-vzeroupper.S         __memmove_chk_avx512_no_vzeroupper                                                       __memmove_chk_avx512_no_vzeroupper                                                      
0x7fca05fa3dd0           1887            322   5.86    local    default ../sysdeps/x86_64/multiarch/memmove-avx512-no-vzeroupper.S         __mempcpy_avx512_no_vzeroupper                                                           __mempcpy_avx512_no_vzeroupper                                                          
0x7fca05fa3dc0           1903            326   5.84    local    default ../sysdeps/x86_64/multiarch/memmove-avx512-no-vzeroupper.S         __mempcpy_chk_avx512_no_vzeroupper                                                       __mempcpy_chk_avx512_no_vzeroupper                                                      
0x7fca05fa68b0           2128            307   6.93    local    default ../sysdeps/x86_64/multiarch/memmove-vec-unaligned-erms.S           __memcpy_avx512_unaligned                                                                __memcpy_avx512_unaligned                                                               
0x7fca05fa0940           1758            351   5.01    local    default ../sysdeps/x86_64/multiarch/memmove-vec-unaligned-erms.S           __memcpy_avx_unaligned_erms                                                              __memcpy_avx_unaligned_erms                                                             
0x7fca05fa08a0           1918            314   6.11    local    default ../sysdeps/x86_64/multiarch/memmove-vec-unaligned-erms.S           __memcpy_chk_avx_unaligned                                                               __memcpy_chk_avx_unaligned                                                              
0x7fca05fa7d90           1807            354   5.10    local    default ../sysdeps/x86_64/multiarch/memmove-vec-unaligned-erms.S           __memcpy_chk_avx_unaligned_erms_rtm                                                      __memcpy_chk_avx_unaligned_erms_rtm                                                     
0x7fca05fa7d20           1919            313   6.13    local    default ../sysdeps/x86_64/multiarch/memmove-vec-unaligned-erms.S           __memcpy_chk_avx_unaligned_rtm                                                           __memcpy_chk_avx_unaligned_rtm                                                          
0x7fca05faef10           2027            349   5.81    local    default ../sysdeps/x86_64/multiarch/memmove-vec-unaligned-erms.S           __memcpy_chk_evex_unaligned_erms                                                         __memcpy_chk_evex_unaligned_erms                                                        
0x7fca05ec49c0           1426            310   4.60    local    default ../sysdeps/x86_64/multiarch/memmove-vec-unaligned-erms.S           __memcpy_chk_sse2_unaligned_erms                                                         __memcpy_chk_sse2_unaligned_erms                                                        
0x7fca05ec4960             49             19   2.58    local    default ../sysdeps/x86_64/multiarch/memmove-vec-unaligned-erms.S           __memcpy_erms                                                                            __memcpy_erms                                                                           
0x7fca05faeeb0           2123            303   7.01    local    default ../sysdeps/x86_64/multiarch/memmove-vec-unaligned-erms.S           __memcpy_evex_unaligned                                                                  __memcpy_evex_unaligned                                                                 
0x7fca05ec48f0           1634            289   5.65   global    default ../sysdeps/x86_64/multiarch/memmove-vec-unaligned-erms.S           __memcpy_sse2_unaligned                                                                  __memcpy_sse2_unaligned                                                                 
0x7fca05fa6940           1984            342   5.80    local    default ../sysdeps/x86_64/multiarch/memmove-vec-unaligned-erms.S           __memmove_avx512_unaligned_erms                                                          __memmove_avx512_unaligned_erms                                                         
0x7fca05fa08b0           1902            310   6.14    local    default ../sysdeps/x86_64/multiarch/memmove-vec-unaligned-erms.S           __memmove_avx_unaligned                                                                  __memmove_avx_unaligned                                                                 
0x7fca05fa7dc0           1759            347   5.07    local    default ../sysdeps/x86_64/multiarch/memmove-vec-unaligned-erms.S           __memmove_avx_unaligned_erms_rtm                                                         __memmove_avx_unaligned_erms_rtm                                                        
0x7fca05fa7d30           1903            309   6.16    local    default ../sysdeps/x86_64/multiarch/memmove-vec-unaligned-erms.S           __memmove_avx_unaligned_rtm                                                              __memmove_avx_unaligned_rtm                                                             
0x7fca05fa68a0           2144            311   6.89    local    default ../sysdeps/x86_64/multiarch/memmove-vec-unaligned-erms.S           __memmove_chk_avx512_unaligned                                                           __memmove_chk_avx512_unaligned                                                          
0x7fca05fa6910           2032            349   5.82    local    default ../sysdeps/x86_64/multiarch/memmove-vec-unaligned-erms.S           __memmove_chk_avx512_unaligned_erms                                                      __memmove_chk_avx512_unaligned_erms                                                     
0x7fca05fa0910           1806            358   5.04    local    default ../sysdeps/x86_64/multiarch/memmove-vec-unaligned-erms.S           __memmove_chk_avx_unaligned_erms                                                         __memmove_chk_avx_unaligned_erms                                                        
0x7fca05ec4950             65             23   2.83    local    default ../sysdeps/x86_64/multiarch/memmove-vec-unaligned-erms.S           __memmove_chk_erms                                                                       __memmove_chk_erms                                                                      
0x7fca05faeea0           2139            307   6.97    local    default ../sysdeps/x86_64/multiarch/memmove-vec-unaligned-erms.S           __memmove_chk_evex_unaligned                                                             __memmove_chk_evex_unaligned                                                            
0x7fca05ec48e0           1650            293   5.63    local    default ../sysdeps/x86_64/multiarch/memmove-vec-unaligned-erms.S           __memmove_chk_sse2_unaligned                                                             __memmove_chk_sse2_unaligned                                                            
0x7fca05faef40           1979            342   5.79    local    default ../sysdeps/x86_64/multiarch/memmove-vec-unaligned-erms.S           __memmove_evex_unaligned_erms                                                            __memmove_evex_unaligned_erms                                                           
0x7fca05ec4a00           1362            302   4.51    local    default ../sysdeps/x86_64/multiarch/memmove-vec-unaligned-erms.S           __memmove_sse2_unaligned_erms                                                            __memmove_sse2_unaligned_erms                                                           
0x7fca05fa6890           2160            309   6.99    local    default ../sysdeps/x86_64/multiarch/memmove-vec-unaligned-erms.S           __mempcpy_avx512_unaligned                                                               __mempcpy_avx512_unaligned                                                              
0x7fca05fa6900           2048            344   5.95    local    default ../sysdeps/x86_64/multiarch/memmove-vec-unaligned-erms.S           __mempcpy_avx512_unaligned_erms                                                          __mempcpy_avx512_unaligned_erms                                                         
0x7fca05fa0890           1934            312   6.20    local    default ../sysdeps/x86_64/multiarch/memmove-vec-unaligned-erms.S           __mempcpy_avx_unaligned                                                                  __mempcpy_avx_unaligned                                                                 
