Channel,Hit Rate,Req,Read Req,Write Req,AtomicReq,EA Read Req,EA Write Req,EA AtomicReq,EA Read Lat - cycles,EA Write Lat - cycles,EA Atomic Lat - cycles,EA Read Stall - IO,EA Read Stall - GMI,EA Read Stall - DRAM,EA Write Stall - IO,EA Write Stall - GMI,EA Write Stall - DRAM,EA Write Stall - Starve
0,99.67597527179706,33.567084078711986,33.31711389385808,0.2499701848539058,0.0,0.09254621347644604,0.01908169350029815,0.0,259.92139175257734,102.8625,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,99.67595569973317,33.56505664877758,33.31508646392367,0.2499701848539058,0.0,0.09254621347644604,0.02075134168157424,0.0,274.680412371134,123.90229885057471,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,99.6759649104107,33.56601073345259,33.316040548598686,0.2499701848539058,0.0,0.09254621347644604,0.02039355992844365,0.0,259.0451030927835,103.11695906432749,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,99.67490824596122,33.56696481812761,33.3169946332737,0.2499701848539058,0.0,0.09254621347644604,0.013595706618962432,0.0,279.8724226804124,126.80701754385964,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,99.67527968934853,33.568634466308886,33.31771019677996,0.2509242695289207,0.0,0.09254621347644604,0.01490757304710793,0.0,262.9033505154639,116.128,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,99.67596721299826,33.56624925462135,33.31627906976744,0.2499701848539058,0.0,0.0926654740608229,0.018246869409660107,0.0,277.8854568854569,122.45098039215686,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,99.67597296932402,33.56684555754323,33.316875372689324,0.2499701848539058,0.0,0.09254621347644604,0.018485390578413835,0.0,273.7474226804124,103.91612903225807,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,99.67596375910463,33.565891472868216,33.31592128801431,0.2499701848539058,0.0,0.09254621347644604,0.01073345259391771,0.0,294.1340206185567,138.3111111111111,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,99.67648549145504,33.65688729874776,33.40691711389386,0.2499701848539058,0.0,0.0926654740608229,0.011568276684555755,0.0,273.07464607464607,105.15463917525773,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,99.67679058723465,33.65175909361956,33.40178890876565,0.2499701848539058,0.0,0.09254621347644604,0.01872391174716756,0.0,276.8144329896907,106.26114649681529,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,99.67677569580057,33.65020870602266,33.40023852116875,0.2499701848539058,0.0,0.09254621347644604,0.02289803220035778,0.0,392.20103092783506,108.3125,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,99.67675851167142,33.648419797257006,33.3984496124031,0.2499701848539058,0.0,0.09254621347644604,0.020274299344066785,0.0,283.27061855670104,125.17058823529412,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,99.67678715087165,33.65140131186643,33.40143112701252,0.2499701848539058,0.0,0.09254621347644604,0.01419200954084675,0.0,278.61726804123714,105.21848739495799,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,99.67680433195598,33.653190220632084,33.403220035778176,0.2499701848539058,0.0,0.09254621347644604,0.014430530709600478,0.0,279.0451030927835,115.22314049586777,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,99.67678485992239,33.651162790697676,33.40119260584377,0.2499701848539058,0.0,0.09254621347644604,0.01908169350029815,0.0,274.94716494845363,113.79375,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,99.67676423991749,33.64901610017889,33.39904591532498,0.2499701848539058,0.0,0.09254621347644604,0.01657722122838402,0.0,293.3479381443299,142.79856115107913,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
