Metric,Value,Unit,Peak,PoP
VALU FLOPs,780.9177983299322,Gflop,23936.0,3.262524224306201
VALU IOPs,1590.8149680822642,Giop,23936.0,6.646118683498765
MFMA FLOPs (BF16),0.0,Gflop,95744.0,0.0
MFMA FLOPs (F16),0.0,Gflop,191488.0,0.0
MFMA FLOPs (F32),0.0,Gflop,47872.0,0.0
MFMA FLOPs (F64),0.0,Gflop,47872.0,0.0
MFMA IOPs (Int8),0.0,Giop,191488.0,0.0
Active CUs,106,Cus,110,96.36363636363636
SALU Util,11.337669776524192,Pct,100,11.337669776524192
VALU Util,22.806326752006942,Pct,100,22.806326752006942
MFMA Util,0.0,Pct,100,0.0
VALU Active Threads/Wave,64.0,Threads,64,100.0
IPC - Issue,1.0,Instr/cycle,5,20.0
LDS BW,0.0,Gb/sec,23936.0,0.0
LDS Bank Conflict,,Conflicts/access,32,
Instr Cache Hit Rate,99.99871524773809,Pct,100,99.99871524773809
Instr Cache BW,793.1196389288374,Gb/s,6092.8,13.01732600657887
Scalar L1D Cache Hit Rate,99.51340313681192,Pct,100,99.51340313681192
Scalar L1D Cache BW,4.575690224589446,Gb/s,6092.8,0.0750999577302627
Vector L1D Cache Hit Rate,65.74027910074422,Pct,100,65.74027910074422
Vector L1D Cache BW,4697.708630578499,Gb/s,11968.0,39.25224457368398
L2 Cache Hit Rate,99.6986788965424,Pct,100,99.6986788965424
L2-Fabric Read BW,4.529669567589997,Gb/s,1638.4,0.2764690898187254
L2-Fabric Write BW,0.7935380085379232,Gb/s,1638.4,0.04843371634142597
L2-Fabric Read Latency,287.5185928841057,Cycles,,
L2-Fabric Write Latency,123.6189010989011,Cycles,,
Wave Occupancy,3009.5415192936093,Wavefronts,3520,85.49833861629573
Instr Fetch BW,372.34643282219884,Gb/s,3046.4,12.222506329510203
Instr Fetch Latency,16.07798541351314,Cycles,,
