Metric,Avg,Min,Max,Unit
GPU Busy Cycles,560230.0,560230,560230,Cycles
CPC Busy Cycles,496150.0,496150,496150,Cycles
CPC Util,88.5618406725809,88.5618406725809,88.5618406725809,Pct
CPC Stall Cycles,9616.0,9616,9616,Cycles
CPC Stall Rate,1.9381235513453592,1.9381235513453592,1.9381235513453592,Pct
CPC Packet Decoding,20319.0,20319,20319,Cycles
SPI Intf Busy Cycles,449062.0,449062,449062,Cycles
SPI Intf Util,90.5093217776882,90.5093217776882,90.5093217776882,Pct
L2Cache Intf Util,0.09484794058886445,0.09484794058886445,0.09484794058886445,Pct
UTCL1 Stall Cycles,1281.0,1281,1281,Cycles
UTCL2 Intf Busy Cycles,1684.0,1684,1684,Cycles
UTCL2 Intf Util,0.30794550608027793,0.30794550608027793,0.30794550608027793,Pct
