  StartAddress   AddressRange  #Instructions  Ratio Linkage Visibility  Module                                                                   Function                                                                                 FunctionSignature                                                                       
0x7114048ed9e0           2935            643   4.56  unknown    unknown ../../../../../libstdc++-v3/src/c++11/cow-shim_facets.cc                 std::locale::facet::_M_cow_shim                                                          std::locale::facet::_M_cow_shim                                                         
0x7114048afa54             24              6   4.00  unknown    unknown ../../../../../libstdc++-v3/src/c++11/cow-shim_facets.cc                 std::locale::facet::_M_cow_shim.cold                                                     std::locale::facet::_M_cow_shim.cold                                                    
0x7114048f8710              9              3   3.00  unknown    unknown ../../../../../libstdc++-v3/src/c++11/cow-sstream-inst.cc                std::basic_istringstream<char, std::char_traits<char>, std::allocator<char> >...         std::basic_istringstream<char, std::char_traits<char>, std::allocator<char> >...        
0x7114048f8500            537            131   4.10  unknown    unknown ../../../../../libstdc++-v3/src/c++11/cow-sstream-inst.cc                std::basic_istringstream<char, std::char_traits<char>, std::allocator<char> >...         std::basic_istringstream<char, std::char_traits<char>, std::allocator<char> >...        
0x7114048fc9d0              9              3   3.00  unknown    unknown ../../../../../libstdc++-v3/src/c++11/cow-sstream-inst.cc                std::basic_istringstream<wchar_t, std::char_traits<wchar_t>, std::allocator<w...         std::basic_istringstream<wchar_t, std::char_traits<wchar_t>, std::allocator<w...        
0x7114048fc7c0            537            131   4.10  unknown    unknown ../../../../../libstdc++-v3/src/c++11/cow-sstream-inst.cc                std::basic_istringstream<wchar_t, std::char_traits<wchar_t>, std::allocator<w...         std::basic_istringstream<wchar_t, std::char_traits<wchar_t>, std::allocator<w...        
0x7114048f9750              9              3   3.00  unknown    unknown ../../../../../libstdc++-v3/src/c++11/cow-sstream-inst.cc                std::basic_ostringstream<char, std::char_traits<char>, std::allocator<char> >...         std::basic_ostringstream<char, std::char_traits<char>, std::allocator<char> >...        
0x7114048f9550            521            127   4.10  unknown    unknown ../../../../../libstdc++-v3/src/c++11/cow-sstream-inst.cc                std::basic_ostringstream<char, std::char_traits<char>, std::allocator<char> >...         std::basic_ostringstream<char, std::char_traits<char>, std::allocator<char> >...        
0x7114048fdaa0              9              3   3.00  unknown    unknown ../../../../../libstdc++-v3/src/c++11/cow-sstream-inst.cc                std::basic_ostringstream<wchar_t, std::char_traits<wchar_t>, std::allocator<w...         std::basic_ostringstream<wchar_t, std::char_traits<wchar_t>, std::allocator<w...        
0x7114048fd8a0            521            127   4.10  unknown    unknown ../../../../../libstdc++-v3/src/c++11/cow-sstream-inst.cc                std::basic_ostringstream<wchar_t, std::char_traits<wchar_t>, std::allocator<w...         std::basic_ostringstream<wchar_t, std::char_traits<wchar_t>, std::allocator<w...        
0x7114048faa80              9              3   3.00  unknown    unknown ../../../../../libstdc++-v3/src/c++11/cow-sstream-inst.cc                std::basic_stringstream<char, std::char_traits<char>, std::allocator<char> >:...         std::basic_stringstream<char, std::char_traits<char>, std::allocator<char> >:...        
