  StartAddress   AddressRange  #Instructions  Ratio Linkage Visibility  Module                                                                                   Function                                                                                 FunctionSignature                                                                       
0x1499d78cad30           2923            624   4.68  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::locale::facet::_M_cow_shim                                                          std::locale::facet::_M_cow_shim                                                         
0x1499d78915b2             24              6   4.00  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::locale::facet::_M_cow_shim.cold                                                     std::locale::facet::_M_cow_shim.cold                                                    
0x1499d78cf400           2923            624   4.68  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::locale::facet::_M_sso_shim                                                          std::locale::facet::_M_sso_shim                                                         
0x1499d7891924             24              6   4.00  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::locale::facet::_M_sso_shim.cold                                                     std::locale::facet::_M_sso_shim.cold                                                    
0x1499d78c3f80             69             24   2.88  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::ios_base::_M_call_callbacks                                                         std::ios_base::_M_call_callbacks                                                        
0x1499d789113e         208519             24 8688.29  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::ios_base::_M_call_callbacks.cold                                                    std::ios_base::_M_call_callbacks.cold                                                   
0x1499d7911390            240             68   3.53  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::__use_cache<std::__numpunct_cache<char> >::operator().isra.0                        std::__use_cache<std::__numpunct_cache<char> >::operator().isra.0                       
0x1499d7891b1c             47              7   6.71  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::__use_cache<std::__numpunct_cache<char> >::operator().isra.0.cold                   std::__use_cache<std::__numpunct_cache<char> >::operator().isra.0.cold                  
0x1499d7937cb0            241             68   3.54  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::__use_cache<std::__numpunct_cache<wchar_t> >::operator().isra.0                     std::__use_cache<std::__numpunct_cache<wchar_t> >::operator().isra.0                    
0x1499d7891b4c             47              7   6.71  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::__use_cache<std::__numpunct_cache<wchar_t> >::operator().isra.0.cold                std::__use_cache<std::__numpunct_cache<wchar_t> >::operator().isra.0.cold               
0x1499d79732b0           1326            308   4.31  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::directory_iterator::directory_iterator                                  std::filesystem::directory_iterator::directory_iterator                                 
0x1499d7894292            164             40   4.10  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::directory_iterator::directory_iterator.cold                             std::filesystem::directory_iterator::directory_iterator.cold                            
0x1499d79743d0           1459            418   3.49  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::recursive_directory_iterator::recursive_directory_iterator              std::filesystem::recursive_directory_iterator::recursive_directory_iterator             
0x1499d789436c            217             44   4.93  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::recursive_directory_iterator::recursive_directory_iterator.cold         std::filesystem::recursive_directory_iterator::recursive_directory_iterator.cold        
0x1499d797a5f0            465            130   3.58  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::__do_uninit_copy<std::filesystem::path::iterator, std::_Deque_iterator<s...         std::__do_uninit_copy<std::filesystem::path::iterator, std::_Deque_iterator<s...        
0x1499d78957ee            102             22   4.64  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::__do_uninit_copy<std::filesystem::path::iterator, std::_Deque_iterator<s...         std::__do_uninit_copy<std::filesystem::path::iterator, std::_Deque_iterator<s...        
0x1499d797a7d0           4832           1047   4.62  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::canonical                                                               std::filesystem::canonical                                                              
0x1499d7895854             91             19   4.79  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::canonical.cold                                                          std::filesystem::canonical.cold                                                         
0x1499d7978270           2942            681   4.32  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::copy                                                                    std::filesystem::copy                                                                   
0x1499d7895603             36              8   4.50  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::copy.cold                                                               std::filesystem::copy.cold                                                              
0x1499d7979720           2814            624   4.51  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::create_directories                                                      std::filesystem::create_directories                                                     
0x1499d7895729             54             12   4.50  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::create_directories.cold                                                 std::filesystem::create_directories.cold                                                
0x1499d7977d90            586            153   3.83  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::current_path                                                            std::filesystem::current_path                                                           
0x1499d7895483             49             12   4.08  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::current_path.cold                                                       std::filesystem::current_path.cold                                                      
0x1499d797c140            292             83   3.52  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::proximate                                                               std::filesystem::proximate                                                              
0x1499d797ce10            737            187   3.94  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::proximate                                                               std::filesystem::proximate                                                              
0x1499d7895a57             44             10   4.40  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::proximate.cold                                                          std::filesystem::proximate.cold                                                         
0x1499d7895b05             62             14   4.43  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::proximate.cold                                                          std::filesystem::proximate.cold                                                         
0x1499d7977870            982            241   4.07  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::read_symlink                                                            std::filesystem::read_symlink                                                           
0x1499d789532a             53             13   4.08  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::read_symlink.cold                                                       std::filesystem::read_symlink.cold                                                      
0x1499d797c270            292             83   3.52  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::relative                                                                std::filesystem::relative                                                               
0x1499d7895a83             44             10   4.40  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::relative.cold                                                           std::filesystem::relative.cold                                                          
0x1499d7977160            227             72   3.15  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::remove_all                                                              std::filesystem::remove_all                                                             
0x1499d7894e3f            160             37   4.32  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::remove_all.cold                                                         std::filesystem::remove_all.cold                                                        
0x1499d7977570            675            179   3.77  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::temp_directory_path                                                     std::filesystem::temp_directory_path                                                    
0x1499d7895278             24              6   4.00  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::temp_directory_path.cold                                                std::filesystem::temp_directory_path.cold                                               
0x1499d797bb00           1600            381   4.20  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::weakly_canonical                                                        std::filesystem::weakly_canonical                                                       
0x1499d797c3a0           2662            591   4.50  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::weakly_canonical                                                        std::filesystem::weakly_canonical                                                       
0x1499d7895a01             59             13   4.54  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::weakly_canonical.cold                                                   std::filesystem::weakly_canonical.cold                                                  
0x1499d7895aaf             64             13   4.92  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::weakly_canonical.cold                                                   std::filesystem::weakly_canonical.cold                                                  
0x1499d79846b0            476            126   3.78  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::filesystem_error::filesystem_error                                      std::filesystem::filesystem_error::filesystem_error                                     
0x1499d7984d00            369            111   3.32  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::filesystem_error::filesystem_error                                      std::filesystem::filesystem_error::filesystem_error                                     
0x1499d7984e80            505            139   3.63  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::filesystem_error::filesystem_error                                      std::filesystem::filesystem_error::filesystem_error                                     
0x1499d789629c             92             20   4.60  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::filesystem_error::filesystem_error.cold                                 std::filesystem::filesystem_error::filesystem_error.cold                                
0x1499d7896428             34              8   4.25  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::filesystem_error::filesystem_error.cold                                 std::filesystem::filesystem_error::filesystem_error.cold                                
0x1499d7896474             34              8   4.25  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::filesystem_error::filesystem_error.cold                                 std::filesystem::filesystem_error::filesystem_error.cold                                
0x1499d79815a0            389            111   3.50  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::path::_List::_List                                                      std::filesystem::path::_List::_List                                                     
0x1499d7895dee             72             17   4.24  unknown    unknown ../../../../../cpe-gcc-12.1.0-202208101649.1dfb26392197c/libstdc++-v3/src/c++...         std::filesystem::path::_List::_List.cold                                                 std::filesystem::path::_List::_List.cold                                                
