"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipDeviceSynchronize",3,134604125,44868041,94.58571689120892
"hipEventSynchronize",4,2941984,735496,2.067319004692214
"hipLaunchKernel",1,2122207,2122207,1.4912653715964634
"hipMalloc",3,1082580,360860,0.7607241263377698
"hipMemcpy",3,883766,294588,0.6210184173336155
"hipHostMalloc",3,413876,137958,0.2908288149717996
"hipHostFree",3,101009,33669,0.07097857274035341
"hipEventRecord",4,94898,23724,0.06668440035951309
"hipFree",3,44724,14908,0.031427354861839694
"hipEventElapsedTime",2,6071,3035,0.004266064559659887
"__hipPushCallConfiguration",1,2785,2785,0.0019570070496874956
"hipEventCreate",2,2335,1167,0.0016407940614076488
"hipEventDestroy",2,2294,1147,0.0016119835446977073
"hipDeviceReset",2,2204,1102,0.0015487409470417378
"hipGetDeviceProperties",1,2154,2154,0.0015136061705661994
"hipSetDevice",5,1352,270,0.0009500443558985615
"hipGetDeviceCount",2,370,185,0.00025999734591898506
"__hipPopCallConfiguration",1,361,361,0.00025367308615338813
"hipInit",1,50,50,3.5134776475538515e-05
