"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hsa_signal_wait_scacquire",5,2982053,596410,30.085046756598036
"hsa_queue_create",1,2031183,2031183,20.49200182766942
"hsa_amd_memory_async_copy",3,1130327,376775,11.40353328570793
"hsa_signal_store_screlease",5,935962,187192,9.442642546057703
"hsa_executable_freeze",2,807139,403569,8.142985572045092
"hsa_amd_memory_pool_allocate",10,787664,78766,7.946508083018322
"hsa_system_get_info",5004,302085,60,3.047645816310749
"hsa_executable_load_agent_code_object",2,259048,129524,2.613458309494569
"hsa_agent_get_info",67,207908,3103,2.097522043059189
"hsa_amd_memory_pool_free",6,206088,34348,2.079160603776585
"hsa_amd_agents_allow_access",7,63348,9049,0.6390991514694649
"hsa_isa_get_info_alt",2,46718,23359,0.4713240222003925
"hsa_signal_create",37,39044,1055,0.39390331612637797
"hsa_code_object_reader_create_from_memory",2,24466,12233,0.24683020521329688
"hsa_iterate_agents",2,23224,11612,0.2343000362083547
"hsa_system_get_major_extension_table",3,15379,5126,0.15515416193800755
"hsa_amd_agent_iterate_memory_pools",6,10890,1815,0.10986597460855076
"hsa_executable_create_alt",2,9918,4959,0.10005975538729169
"hsa_amd_profiling_get_dispatch_time",8,7143,892,0.07206360483277117
"hsa_amd_signal_async_handler",4,4779,1194,0.048213911171190456
"hsa_signal_load_relaxed",50,4405,88,0.04444073628564427
"hsa_amd_memory_pool_get_info",20,2978,148,0.030044157243734083
"hsa_executable_get_symbol_by_name",14,2955,211,0.029812117076975893
"hsa_executable_symbol_get_info",28,1633,58,0.01647485183983135
"hsa_amd_profiling_async_copy_enable",1,1282,1282,0.01293371712104335
"hsa_queue_add_write_index_screlease",5,1242,248,0.012530169004942153
"hsa_amd_agent_memory_pool_get_info",5,1082,216,0.010915976540537367
"hsa_agent_iterate_isas",1,691,691,0.00697129370564817
"hsa_queue_load_read_index_relaxed",5,460,92,0.00464080333516376
"hsa_queue_load_read_index_scacquire",5,412,82,0.0041565455958423245
"hsa_signal_silent_store_relaxed",7,391,55,0.0039446828348891965
"hsa_amd_profiling_set_profiler_enabled",1,180,180,0.0018159665224553845
"hsa_dispatch",1,0,0,0.0
