"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipDeviceSynchronize",3,196965512,65655170,95.85348717841704
"hipEventElapsedTime",2,4408177,2204088,2.1452442778393253
"hipMemcpy",3,2592088,864029,1.2614425304737038
"hipHostMalloc",3,485579,161859,0.23630756459845909
"hipEventSynchronize",4,363692,90923,0.17699111943461884
"hipLaunchKernel",1,352301,352301,0.1714476765173159
"hipHostFree",3,157725,52575,0.07675704803192057
"hipEventRecord",4,56619,14154,0.027553699809917967
"hipFree",3,55608,18536,0.027061695526765187
"hipMalloc",3,37623,12541,0.01830927511875066
"hipDeviceReset",2,2866,1433,0.0013947421122807696
"hipSetDevice",5,1934,386,0.0009411832676730664
"hipGetDeviceProperties",1,1634,1634,0.0007951879314259516
"__hipPushCallConfiguration",1,1302,1302,0.000633619759312478
"hipEventDestroy",2,1293,646,0.0006292398992250645
"hipEventCreate",2,891,445,0.0004336061486539308
"hipInit",1,781,781,0.00038007452536332207
"__hipPopCallConfiguration",1,391,391,0.0001902805882420729
