"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hsa_queue_create",1,13289221,13289221,64.73028950650757
"hsa_system_get_info",9101,3760529,413,18.317110601713782
"hsa_amd_memory_pool_allocate",11,815385,74125,3.971647932505877
"hsa_signal_wait_scacquire",5,636305,127261,3.099369546524834
"hsa_amd_memory_async_copy",3,519380,173126,2.5298411219054833
"hsa_system_get_major_extension_table",7,431028,61575,2.099488542286335
"hsa_executable_load_agent_code_object",2,251208,125604,1.2236057001648746
"hsa_amd_memory_pool_free",6,208354,34725,1.0148687225412896
"hsa_executable_freeze",2,128621,64310,0.6264983151846532
"hsa_amd_agents_allow_access",7,107027,15289,0.5213163882979286
"hsa_agent_get_info",99,71858,725,0.35001217478124724
"hsa_executable_destroy",1,69735,69735,0.3396712823675899
"hsa_signal_create",44,48526,1102,0.23636464685121775
"hsa_amd_memory_pool_get_info",110,26568,241,0.12940971721434186
"hsa_signal_store_screlease",8,24578,3072,0.11971665272862445
"hsa_code_object_reader_create_from_memory",2,24537,12268,0.11951694637489861
"hsa_amd_agent_iterate_memory_pools",33,22814,691,0.11112440863173724
"hsa_isa_get_info_alt",2,15951,7975,0.07769551337270277
"hsa_amd_memory_lock_to_pool",1,13346,13346,0.0650068535810978
"hsa_signal_load_relaxed",30,9995,333,0.048684512329017875
"hsa_amd_signal_async_handler",7,9309,1329,0.045343084069117294
"hsa_executable_create_alt",2,6593,3296,0.03211375585644971
"hsa_executable_get_symbol_by_name",15,6592,439,0.03210888496977347
"hsa_amd_profiling_get_dispatch_time",5,5671,1134,0.027622798340956514
"hsa_iterate_agents",4,5160,1290,0.025133775249397923
"hsa_executable_symbol_get_info",15,3465,231,0.01687762233317128
"hsa_signal_silent_store_relaxed",8,2877,359,0.014013540967542213
"hsa_amd_profiling_async_copy_enable",2,2876,1438,0.014008670080865973
"hsa_amd_profiling_get_async_copy_time",6,2865,477,0.013955090327427335
"hsa_queue_add_write_index_screlease",5,2275,455,0.011081267188445789
"hsa_amd_agent_memory_pool_get_info",9,2215,246,0.010789013987871394
"hsa_queue_load_read_index_relaxed",5,1521,304,0.007408618634560899
"hsa_queue_load_read_index_scacquire",5,1343,268,0.006541600806190195
"hsa_signal_destroy",3,942,314,0.004588375249017992
"hsa_agent_iterate_isas",1,551,551,0.002683858558608189
"hsa_code_object_reader_destroy",1,511,511,0.0024890230915585927
"hsa_amd_profiling_set_profiler_enabled",1,411,411,0.0020019344239346018
"hsa_dispatch",1,0,0,0.0
