Channel,L2 Cache Hit Rate (%),Requests (Requests),L1-L2 Read (Requests),L1-L2 Write (Requests),L1-L2 Atomic (Requests),L2-EA Read (Requests),L2-EA Write (Requests),L2-EA Atomic (Requests),L2-EA Read Latency (Cycles),L2-EA Write Latency (Cycles),L2-EA Atomic Latency (Cycles),L2-EA Read Stall - IO (Cycles per),L2-EA Read Stall - GMI (Cycles per),L2-EA Read Stall - DRAM (Cycles per),L2-EA Write Stall - IO (Cycles per),L2-EA Write Stall - GMI (Cycles per),L2-EA Write Stall - DRAM (Cycles per),L2-EA Write Stall - Starve (Cycles per)
0,99.68231248581752,34.16159809183065,33.91162790697675,0.2499701848539058,0.0,0.09206917113893857,0.023017292784734644,0.0,276.9740932642487,99.24870466321244,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,99.68163316600456,34.163625521765056,33.91270125223613,0.2509242695289207,0.0,0.09206917113893857,0.015026833631484795,0.0,276.2098445595855,108.23015873015873,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,99.68233133888613,34.163625521765056,33.91365533691115,0.2499701848539058,0.0,0.09206917113893857,0.021228384019081694,0.0,269.27720207253884,98.39887640449439,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,99.66281663298324,34.16708407871199,33.91711389385808,0.2499701848539058,0.0,0.09206917113893857,0.017054263565891473,0.0,293.10362694300517,118.22377622377623,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,99.68315815746415,34.40333929636255,34.153369111508646,0.2499701848539058,0.0,0.09302325581395349,0.023971377459749553,0.0,279.44102564102565,98.12935323383084,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,99.68316035413937,34.40357781753131,34.1536076326774,0.2499701848539058,0.0,0.09302325581395349,0.024090638044126415,0.0,282.96923076923076,103.96039603960396,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,99.66381894744138,34.41085271317829,34.160882528324386,0.2499701848539058,0.0,0.09302325581395349,0.02981514609421586,0.0,279.84358974358975,109.532,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,99.68315705911513,34.403220035778176,34.15324985092427,0.2499701848539058,0.0,0.09302325581395349,0.017173524150268335,0.0,295.6,136.03472222222223,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,99.68785005874156,34.920453190220634,34.67048300536673,0.2499701848539058,0.0,0.09302325581395349,0.017173524150268335,0.0,275.2128205128205,107.59722222222223,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,99.6906666304078,35.08419797257007,34.83422778771616,0.2499701848539058,0.0,0.09206917113893857,0.023017292784734644,0.0,278.979274611399,111.53367875647669,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,99.69067609368095,35.08527131782946,34.83530113297555,0.2499701848539058,0.0,0.09218843172331545,0.011926058437686345,0.0,271.3906856403622,107.73,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,99.69069081317726,35.08694096601074,34.83697078115683,0.2499701848539058,0.0,0.09206917113893857,0.019200954084675016,0.0,290.5220207253886,123.61490683229813,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,99.69068976183112,35.08682170542636,34.83685152057245,0.2499701848539058,0.0,0.09206917113893857,0.016100178890876567,0.0,277.43523316062175,109.52592592592593,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,99.68784366227007,34.91973762671437,34.669767441860465,0.2499701848539058,0.0,0.09302325581395349,0.021586165772212285,0.0,274.08076923076925,115.1988950276243,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,99.68750533631598,34.9200954084675,34.670125223613596,0.2499701848539058,0.0,0.09302325581395349,0.023971377459749553,0.0,276.9974358974359,96.07462686567165,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,99.68751494122549,34.921168753726896,34.67119856887299,0.2499701848539058,0.0,0.09302325581395349,0.027906976744186046,0.0,296.42692307692306,129.82905982905982,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
