Metric,Value,Alias
Wave Life,189493.0,wave_life_
Active CUs,110/110,active_cu_
SALU,776.0,salu_
SMEM,3.0,smem_
VALU,1570.0,valu_
MFMA,0.0,mfma_
VMEM,513.0,vmem_
LDS,0.0,lds_
GWS,0.0,gws_
BR,258.0,br_
VGPR,8.0,vgpr_
SGPR,32.0,sgpr_
LDS Allocation,0.0,lds_alloc_
Scratch Allocation,0.0,scratch_alloc_
Wavefronts,8385.0,wavefronts_
Workgroups,8385.0,workgroups_
LDS Req,0.0,lds_req_
IL1 Fetch,776.0,il1_fetch_
IL1 Hit,100.0,il1_hit_
IL1_L2 Rd,0.0,il1_l2_req_
vL1D Rd,3.0,sl1_rd_
vL1D Hit,90.0,sl1_hit_
vL1D_L2 Rd,0.0,sl1_l2_rd_
vL1D_L2 Wr,0.0,sl1_l2_wr_
vL1D_L2 Atomic,0.0,sl1_l2_atom_
VL1 Rd,8192.0,vl1_rd_
VL1 Wr,16.0,vl1_wr_
VL1 Atomic,0.0,vl1_atom_
VL1 Hit,65.0,vl1_hit_
VL1 Lat,384.0,vl1_lat_
VL1_L2 Rd,1060.0,vl1_l2_rd_
VL1_L2 Wr,8.0,vl1_l2_wr_
vL1_L2 Atomic,0.0,vl1_l2_atom_
L2 Rd,1084.0,l2_rd_
L2 Wr,8.0,l2_wr_
L2 Atomic,0.0,l2_atom_
L2 Hit,100.0,l2_hit_
L2 Rd Lat,192.0,l2_rd_lat_
L2 Wr Lat,210.0,l2_wr_lat_
Fabric Rd Lat,289.0,fabric_rd_lat_
Fabric Wr Lat,116.0,fabric_wr_lat_
Fabric Atomic Lat,,fabric_atom_lat_
Fabric_L2 Rd,3.0,l2_fabric_rd_
Fabric_L2 Wr,1.0,l2_fabric_wr_
Fabric_l2 Atomic,0.0,l2_fabric_atom_
HBM Rd,3.0,hbm_rd_
HBM Wr,1.0,hbm_wr_
LDS Util,0.0,lds_util_
VL1 Coalesce,100.0,vl1_coales_
VL1 Stall,2.0,vl1_stall_
LDS Lat,,lds_lat_
vL1D Lat,,sl1_lat_
IL1 Lat,,il1_lat_
Wave Occupancy,25.0,wave_occ_
