Metric,Value,Unit,Peak,PoP
VALU FLOPs,765.598943385291,Gflop,23936.0,3.1985249974318646
VALU IOPs,1562.5994059328693,Giop,23936.0,6.52823949671152
MFMA FLOPs (BF16),0.0,Gflop,95744.0,0.0
MFMA FLOPs (F16),0.0,Gflop,191488.0,0.0
MFMA FLOPs (F32),0.0,Gflop,47872.0,0.0
MFMA FLOPs (F64),0.0,Gflop,47872.0,0.0
MFMA IOPs (Int8),0.0,Giop,191488.0,0.0
Active CUs,110,Cus,110,100.0
SALU Util,10.449092883118528,Pct,100,10.449092883118528
VALU Util,21.059147402434004,Pct,100,21.059147402434004
MFMA Util,0.0,Pct,100,0.0
VALU Active Threads/Wave,64.0,Threads,64,100.0
IPC - Issue,1.0,Instr/cycle,5,20.0
LDS BW,0.0,Gb/sec,23936.0,0.0
LDS Bank Conflict,,Conflicts/access,32,
Instr Cache Hit Rate,99.99913916001078,Pct,100,99.99913916001078
Instr Cache BW,1160.3608985683315,Gb/s,6092.8,19.04478890769977
Scalar L1D Cache Hit Rate,99.5072157690954,Pct,100,99.5072157690954
Scalar L1D Cache BW,4.48593130889819,Gb/s,6092.8,0.07362676124110737
Vector L1D Cache Hit Rate,65.33158314553663,Pct,100,65.33158314553663
Vector L1D Cache BW,4605.556143802141,Gb/s,11968.0,38.482253875352114
L2 Cache Hit Rate,99.66498205048681,Pct,100,99.66498205048681
L2-Fabric Read BW,4.450443321203069,Gb/s,1638.4,0.27163350349139825
L2-Fabric Write BW,0.863303258452639,Gb/s,1638.4,0.05269184927079095
L2-Fabric Read Latency,289.39088796281453,Cycles,,
L2-Fabric Write Latency,116.34829721362229,Cycles,,
Wave Occupancy,2798.362273509652,Wavefronts,3520,79.49892822470602
Instr Fetch BW,0.3418498610641921,Gb/s,3046.4,0.011221437141025213
Instr Fetch Latency,16.037070984637516,Cycles,,
