Metric,Avg,Min,Max,Unit
GPU Busy Cycles,568289.0,568289,568289,Cycles
CPC Busy Cycles,504181.0,504181,504181,Cycles
CPC Util,88.71912002519845,88.71912002519845,88.71912002519845,Pct
CPC Stall Cycles,9880.0,9880,9880,Cycles
CPC Stall Rate,1.9596137101556783,1.9596137101556783,1.9596137101556783,Pct
CPC Packet Decoding,23036.0,23036,23036,Cycles
SPI Intf Busy Cycles,443700.0,443700,443700,Cycles
SPI Intf Util,88.00410963523021,88.00410963523021,88.00410963523021,Pct
L2Cache Intf Util,0.09497339091745766,0.09497339091745766,0.09497339091745766,Pct
UTCL1 Stall Cycles,1279.0,1279,1279,Cycles
UTCL2 Intf Busy Cycles,1653.0,1653,1653,Cycles
UTCL2 Intf Util,0.3117597356549029,0.3117597356549029,0.3117597356549029,Pct
