"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","arch_vgpr","accum_vgpr","sgpr","wave_size","sig","obj","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
0,"__amd_rocclr_fillBufferAligned.kd",1,2,0,15279,15279,32768,256,0,0,8,0,128,32,"0x0","0x7f44f07f59c0",11323105172786,11323105224723,11323105246164,11323105250032,21441
1,"__amd_rocclr_fillBufferAligned.kd",1,2,1,15279,15279,32768,256,0,0,8,0,128,32,"0x0","0x7f44f07f59c0",11323105210197,11323105255822,11323105262996,11323105334031,7174
2,"__amd_rocclr_fillBufferAligned.kd",1,2,2,15279,15279,32768,256,0,0,8,0,128,32,"0x0","0x7f44f07f59c0",11323105220656,11323105269007,11323105276020,11323105328891,7013
3,"__amd_rocclr_fillBufferAligned.kd",1,2,3,15279,15279,32768,256,0,0,8,0,128,32,"0x0","0x7f44f07f59c0",11323105227790,11323105281992,11323105288965,11323105323180,6973
4,"__amd_rocclr_fillBufferAligned.kd",1,2,4,15279,15279,32768,256,0,0,8,0,128,32,"0x0","0x7f44f07f59c0",11323105233130,11323105294976,11323105302030,11323105314604,7054
5,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,0,0,15279,15279,65536,256,0,0,24,0,128,32,"0x0","0x7f44f07bab80",11323105731001,11323105748764,11323105769724,11323105772630,20960
6,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,1,0,15279,15279,65536,256,0,0,24,0,128,32,"0x0","0x7f44f07bab80",11323105767320,11323105782508,11323105801263,11323105804691,18755
7,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,7,15279,15279,65536,256,0,0,24,0,128,32,"0x0","0x7f44f07bab80",11323105778160,11323105813286,11323105834326,11323105837593,21040
8,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,3,0,15279,15279,65536,256,0,0,24,0,128,32,"0x0","0x7f44f07bab80",11323105818316,11323105829477,11323105851999,11323105854304,22522
9,"__amd_rocclr_copyBufferRectAligned.kd",1,2,9,15279,15279,16384,256,0,0,16,0,128,32,"0x0","0x7f44f07f5b00",11323105877598,11323105893538,11323105906041,11323105910330,12503
