"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipMemset",6,376539619,62756603,64.90415565505694
"hipStreamCreateWithFlags",5,155808228,31161645,26.856673168436494
"hipHostMalloc",1,19714060,19714060,3.3981136493186175
"hipStreamSynchronize",640,5587702,8730,0.9631525132075756
"hipLaunchKernel",640,5145739,8040,0.8869713256290755
"hipEventRecord",1277,5056665,3959,0.8716176351564175
"hipMemcpy3DAsync",637,4894609,7683,0.8436840331711352
"hipHostFree",1,3513431,3513431,0.6056103023445784
"hipEventCreate",5,1295459,259091,0.22329834189571537
"hipMalloc",6,804789,134131,0.13872152594247358
"hipMemcpy",1,593017,593017,0.10221837419476143
"hipStreamDestroy",5,478809,95761,0.08253233470510883
"hipEventSynchronize",640,231831,362,0.03996072272455214
"hipStreamWaitEvent",637,228336,358,0.03935828937473133
"hipDeviceSynchronize",3,91586,30528,0.015786684056277343
"__hipPopCallConfiguration",640,47670,74,0.008216880625453025
"__hipPushCallConfiguration",640,45543,71,0.007850249513845336
"hipGetLastError",640,31494,49,0.005428622580617109
"hipFree",6,29802,4967,0.005136972443879822
"hipDeviceReset",2,6141,3070,0.0010585245211014692
"hipGetDeviceProperties",1,1512,1512,0.00026062352644608716
"hipSetDevice",5,581,116,0.00010014700321770943
"hipGetDeviceCount",2,361,180,6.222559063957504e-05
"hipInit",1,181,181,3.119898034837419e-05
