"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hsa_amd_memory_pool_allocate",16,22956493,1434780,39.57997063393386
"hsa_signal_wait_scacquire",789,17963063,22766,30.97064983033357
"hsa_amd_memory_pool_free",17,4967410,292200,8.564458949662276
"hsa_queue_create",4,4815893,1203973,8.303223994891887
"hsa_signal_store_screlease",2566,3914839,1525,6.749690061830393
"hsa_amd_signal_async_handler",1284,774290,603,1.3349763599408955
"hsa_amd_agents_allow_access",10,434580,43458,0.749272270729461
"hsa_signal_load_relaxed",5472,409236,74,0.7055759284464119
"hsa_amd_memory_async_copy",1,320586,320586,0.5527318334577638
"hsa_executable_load_agent_code_object",2,262736,131368,0.4529909322158766
"hsa_executable_freeze",2,174860,87430,0.3014813135895659
"hsa_signal_create",219,164938,753,0.2843744990325736
"hsa_queue_add_write_index_screlease",2566,147432,57,0.25419188508027496
"hsa_queue_load_read_index_scacquire",2566,140744,54,0.24266090586669256
"hsa_queue_load_read_index_relaxed",2566,113861,44,0.19631112802597256
"hsa_agent_get_info",60,91231,1520,0.15729407365944004
"hsa_signal_silent_store_relaxed",1285,89701,69,0.15465615526877302
"hsa_amd_profiling_get_dispatch_time",1277,78841,61,0.13593210708403847
"hsa_code_object_reader_create_from_memory",2,42430,21215,0.0731548217751646
"hsa_executable_iterate_symbols",16,35976,2248,0.06202728890368422
"hsa_isa_get_info_alt",2,26351,13175,0.045432540857821405
"hsa_signal_destroy",172,23474,136,0.04047221980556714
"hsa_iterate_agents",1,11252,11252,0.019399907014238795
"hsa_executable_symbol_get_info",264,11191,42,0.019294735104545532
"hsa_amd_pointer_info",4,8446,2111,0.014561999168348813
"hsa_executable_create_alt",2,7385,3692,0.012732697591552922
"hsa_amd_agent_iterate_memory_pools",3,4217,1405,0.007270654806171791
"hsa_executable_get_symbol_by_name",16,3224,201,0.005558594046738879
"hsa_amd_profiling_async_copy_enable",6,1762,293,0.003037916473434834
"hsa_amd_memory_pool_get_info",12,992,82,0.001710336629765809
"hsa_amd_agent_memory_pool_get_info",5,710,142,0.0012241320636428674
"hsa_amd_profiling_set_profiler_enabled",4,700,175,0.001206890766971841
"hsa_system_get_info",3,522,174,0.0008999956862275729
"hsa_system_get_major_extension_table",1,511,511,0.0008810302598894439
"hsa_agent_iterate_isas",1,401,401,0.0006913759965081547
"hsa_dispatch",1282,0,0,0.0
