"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","arch_vgpr","accum_vgpr","sgpr","wave_size","sig","obj","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
0,"__amd_rocclr_fillBufferAligned.kd",1,1,0,20604,20604,32768,256,0,0,8,0,128,32,"0x0","0x7f88f8cf59c0",14612080104081,14612080156670,14612080187328,14612080191336,30658
1,"__amd_rocclr_fillBufferAligned.kd",1,1,1,20604,20604,32768,256,0,0,8,0,128,32,"0x0","0x7f88f8cf59c0",14612080146852,14612080196625,14612080203438,14612080353542,6813
2,"__amd_rocclr_fillBufferAligned.kd",1,1,2,20604,20604,32768,256,0,0,8,0,128,32,"0x0","0x7f88f8cf59c0",14612080156480,14612080209369,14612080216262,14612080346679,6893
3,"__amd_rocclr_fillBufferAligned.kd",1,1,3,20604,20604,32768,256,0,0,8,0,128,32,"0x0","0x7f88f8cf59c0",14612080168693,14612080222314,14612080229167,14612080338954,6853
4,"__amd_rocclr_fillBufferAligned.kd",1,1,4,20604,20604,32768,256,0,0,8,0,128,32,"0x0","0x7f88f8cf59c0",14612080184783,14612080235458,14612080242752,14612080319728,7294
5,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,3,20604,20604,65536,256,0,0,24,0,128,32,"0x0","0x7f88f8ca4b80",14612080710284,14612080728107,14612080756160,14612080761280,28053
6,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,5,20604,20604,65536,256,0,0,24,0,128,32,"0x0","0x7f88f8ca4b80",14612080756521,14612080778442,14612080801806,14612080808379,23364
7,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,7,20604,20604,65536,256,0,0,24,0,128,32,"0x0","0x7f88f8ca4b80",14612080775367,14612080853143,14612080871899,14612080874774,18756
8,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,9,20604,20604,65536,256,0,0,24,0,128,32,"0x0","0x7f88f8ca4b80",14612080814631,14612080889371,14612080934977,14612080938605,45606
9,"__amd_rocclr_copyBufferRectAligned.kd",1,2,11,20604,20604,16384,256,0,0,16,0,128,32,"0x0","0x7f88f8cf5b00",14612080913027,14612080962630,14612080988839,14612080998929,26209
10,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,13,20604,20604,65536,256,0,0,24,0,128,32,"0x0","0x7f88f8ca4b80",14612080937964,14612081023785,14612081061336,14612081064532,37551
11,"__amd_rocclr_copyBufferRectAligned.kd",1,3,0,20604,20604,16384,256,0,0,16,0,128,32,"0x0","0x7f88f8cf5b00",14612080966097,14612080979782,14612081016732,14612081023365,36950
12,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,16,20604,20604,65536,256,0,0,24,0,128,32,"0x0","0x7f88f8ca4b80",14612080988459,14612081084419,14612081172786,14612081174650,88367
13,"__amd_rocclr_copyBufferRectAligned.kd",1,3,2,20604,20604,16384,256,0,0,16,0,128,32,"0x0","0x7f88f8cf5b00",14612081083438,14612081112552,14612081159761,14612081164912,47209
14,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,18,20604,20604,65536,256,0,0,24,0,128,32,"0x0","0x7f88f8ca4b80",14612081128172,14612081178677,14612081204446,14612081205769,25769
15,"__amd_rocclr_copyBufferRectAligned.kd",1,0,0,20604,20604,16384,256,0,0,16,0,128,32,"0x0","0x7f88f8cf5b00",14612081182996,14612081189698,14612081206169,14612081216008,16471
16,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,20,20604,20604,65536,256,0,0,24,0,128,32,"0x0","0x7f88f8ca4b80",14612081200909,14612081214384,14612081230495,14612081231487,16111
17,"__amd_rocclr_copyBufferRectAligned.kd",1,1,6,20604,20604,16384,256,0,0,16,0,128,32,"0x0","0x7f88f8cf5b00",14612081216318,14612081241676,14612081251615,14612081263257,9939
18,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,22,20604,20604,65536,256,0,0,24,0,128,32,"0x0","0x7f88f8ca4b80",14612081247828,14612081257666,14612081275660,14612081276332,17994
19,"__amd_rocclr_copyBufferRectAligned.kd",1,2,24,20604,20604,16384,256,0,0,16,0,128,32,"0x0","0x7f88f8cf5b00",14612081265812,14612081283595,14612081293934,14612081294927,10339
20,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,26,20604,20604,65536,256,0,0,24,0,128,32,"0x0","0x7f88f8ca4b80",14612081290659,14612081299224,14612081318621,14612081321026,19397
21,"__amd_rocclr_copyBufferRectAligned.kd",1,3,4,20604,20604,16384,256,0,0,16,0,128,32,"0x0","0x7f88f8cf5b00",14612081303232,14612081311007,14612081321306,14612081335042,10299
22,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,28,20604,20604,65536,256,0,0,24,0,128,32,"0x0","0x7f88f8ca4b80",14612081321918,14612081339661,14612081352805,14612081353477,13144
23,"__amd_rocclr_copyBufferRectAligned.kd",1,3,6,20604,20604,16384,256,0,0,16,0,128,32,"0x0","0x7f88f8cf5b00",14612081346524,14612081360019,14612081369317,14612081371291,9298
24,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,30,20604,20604,65536,256,0,0,24,0,128,32,"0x0","0x7f88f8ca4b80",14612081361663,14612081387070,14612081401016,14612081401428,13946
25,"__amd_rocclr_copyBufferRectAligned.kd",1,0,2,20604,20604,16384,256,0,0,16,0,128,32,"0x0","0x7f88f8cf5b00",14612081396338,14612081402058,14612081417247,14612081425944,15189
26,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,32,20604,20604,65536,256,0,0,24,0,128,32,"0x0","0x7f88f8ca4b80",14612081413861,14612081419411,14612081434199,14612081440020,14788
27,"__amd_rocclr_copyBufferRectAligned.kd",1,1,8,20604,20604,16384,256,0,0,16,0,128,32,"0x0","0x7f88f8cf5b00",14612081425373,14612081433478,14612081443416,14612081448967,9938
28,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,34,20604,20604,65536,256,0,0,24,0,128,32,"0x0","0x7f88f8ca4b80",14612081442475,14612081464927,14612081480075,14612081480897,15148
29,"__amd_rocclr_copyBufferRectAligned.kd",1,2,36,20604,20604,16384,256,0,0,16,0,128,32,"0x0","0x7f88f8cf5b00",14612081477321,14612081487449,14612081499191,14612081501226,11742
30,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,38,20604,20604,65536,256,0,0,24,0,128,32,"0x0","0x7f88f8ca4b80",14612081494172,14612081514059,14612081542954,14612081551891,28895
31,"__amd_rocclr_copyBufferRectAligned.kd",1,3,8,20604,20604,16384,256,0,0,16,0,128,32,"0x0","0x7f88f8cf5b00",14612081505724,14612081520993,14612081539548,14612081542634,18555
32,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,40,20604,20604,65536,256,0,0,24,0,128,32,"0x0","0x7f88f8ca4b80",14612081528297,14612081563192,14612081598619,14612081608278,35427
33,"__amd_rocclr_copyBufferRectAligned.kd",1,3,10,20604,20604,16384,256,0,0,16,0,128,32,"0x0","0x7f88f8cf5b00",14612081561399,14612081572530,14612081597136,14612081599431,24606
34,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,42,20604,20604,65536,256,0,0,24,0,128,32,"0x0","0x7f88f8ca4b80",14612081574374,14612081617895,14612081636691,14612081639386,18796
35,"__amd_rocclr_copyBufferRectAligned.kd",1,0,4,20604,20604,16384,256,0,0,16,0,128,32,"0x0","0x7f88f8cf5b00",14612081615672,14612081640057,14612081657410,14612081660125,17353
36,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,44,20604,20604,65536,256,0,0,24,0,128,32,"0x0","0x7f88f8ca4b80",14612081646470,14612081660536,14612081681615,14612081684571,21079
37,"__amd_rocclr_copyBufferRectAligned.kd",1,1,10,20604,20604,16384,256,0,0,16,0,128,32,"0x0","0x7f88f8cf5b00",14612081660716,14612081681135,14612081696043,14612081698107,14908
38,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,46,20604,20604,65536,256,0,0,24,0,128,32,"0x0","0x7f88f8ca4b80",14612081683700,14612081709107,14612081728945,14612081731871,19838
39,"__amd_rocclr_copyBufferRectAligned.kd",1,2,48,20604,20604,16384,256,0,0,16,0,128,32,"0x0","0x7f88f8cf5b00",14612081705811,14612081745937,14612081757358,14612081759633,11421
40,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,50,20604,20604,65536,256,0,0,24,0,128,32,"0x0","0x7f88f8ca4b80",14612081721130,14612081774791,14612081795270,14612081797434,20479
41,"__amd_rocclr_copyBufferRectAligned.kd",1,3,12,20604,20604,16384,256,0,0,16,0,128,32,"0x0","0x7f88f8cf5b00",14612081745396,14612081757479,14612081769341,14612081772247,11862
42,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,53,20604,20604,65536,256,0,0,24,0,128,32,"0x0","0x7f88f8ca4b80",14612081767358,14612081824325,14612081854101,14612081857167,29776
43,"__amd_rocclr_copyBufferRectAligned.kd",1,3,14,20604,20604,16384,256,0,0,16,0,128,32,"0x0","0x7f88f8cf5b00",14612081811851,14612081822561,14612081837149,14612081842700,14588
44,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,55,20604,20604,65536,256,0,0,24,0,128,32,"0x0","0x7f88f8ca4b80",14612081827882,14612081869850,14612081889287,14612081895639,19437
45,"__amd_rocclr_copyBufferRectAligned.kd",1,0,6,20604,20604,16384,256,0,0,16,0,128,32,"0x0","0x7f88f8cf5b00",14612081869079,14612081885280,14612081899747,14612081905488,14467
46,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,57,20604,20604,65536,256,0,0,24,0,128,32,"0x0","0x7f88f8ca4b80",14612081889518,14612081913413,14612081942588,14612081945183,29175
47,"__amd_rocclr_copyBufferRectAligned.kd",1,1,12,20604,20604,16384,256,0,0,16,0,128,32,"0x0","0x7f88f8cf5b00",14612081910658,14612081926718,14612081943990,14612081953288,17272
48,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,59,20604,20604,65536,256,0,0,24,0,128,32,"0x0","0x7f88f8ca4b80",14612081934292,14612081962144,14612081981541,14612081983645,19397
49,"__amd_rocclr_copyBufferRectAligned.kd",1,2,61,20604,20604,16384,256,0,0,16,0,128,32,"0x0","0x7f88f8cf5b00",14612081959740,14612081999775,14612082011157,14612082016127,11382
50,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,63,20604,20604,65536,256,0,0,24,0,128,32,"0x0","0x7f88f8ca4b80",14612081978025,14612082030233,14612082049149,14612082051313,18916
51,"__amd_rocclr_copyBufferRectAligned.kd",1,3,16,20604,20604,16384,256,0,0,16,0,128,32,"0x0","0x7f88f8cf5b00",14612081997672,14612082010395,14612082022218,14612082025174,11823
52,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,66,20604,20604,65536,256,0,0,24,0,128,32,"0x0","0x7f88f8ca4b80",14612082018992,14612082079005,14612082108541,14612082111216,29536
53,"__amd_rocclr_copyBufferRectAligned.kd",1,3,18,20604,20604,16384,256,0,0,16,0,128,32,"0x0","0x7f88f8cf5b00",14612082066462,14612082076881,14612082092350,14612082098051,15469
54,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,68,20604,20604,65536,256,0,0,24,0,128,32,"0x0","0x7f88f8ca4b80",14612082082742,14612082124050,14612082152423,14612082161942,28373
55,"__amd_rocclr_copyBufferRectAligned.kd",1,0,8,20604,20604,16384,256,0,0,16,0,128,32,"0x0","0x7f88f8cf5b00",14612082121856,14612082131704,14612082150860,14612082153085,19156
56,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,70,20604,20604,65536,256,0,0,24,0,128,32,"0x0","0x7f88f8ca4b80",14612082136233,14612082169656,14612082188571,14612082190746,18915
57,"__amd_rocclr_copyBufferRectAligned.kd",1,1,14,20604,20604,16384,256,0,0,16,0,128,32,"0x0","0x7f88f8cf5b00",14612082167592,14612082189974,14612082205764,14612082208209,15790
