"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipMemset",6,421275744,70212624,63.46066833727921
"hipStreamCreateWithFlags",6,165262330,27543721,24.894995883684174
"hipHostMalloc",1,41191479,41191479,6.205054110926931
"hipHostFree",1,9762971,9762971,1.4706867733108202
"hipLaunchKernel",640,6699962,10468,1.0092773495983047
"hipMemcpy3DAsync",637,6175538,9694,0.9302785038159344
"hipEventRecord",1277,5705582,4467,0.8594846775064985
"hipEventSynchronize",637,3631668,5701,0.5470717973715338
"hipStreamWaitEvent",1920,1400451,729,0.21096290897206513
"hipStreamDestroy",6,913401,152233,0.13759405507082592
"hipMemcpy",1,846986,846986,0.12758934830180674
"hipMalloc",6,791811,131968,0.1192778268686872
"__hipPushCallConfiguration",640,49723,77,0.00749023616164935
"__hipPopCallConfiguration",640,43050,67,0.006485020347907498
"hipGetLastError",640,30278,47,0.004561055658395894
"hipFree",6,29597,4932,0.0044584703190945
"hipDeviceSynchronize",3,15839,5279,0.002385975314529776
"hipDeviceReset",2,5509,2754,0.0008298717095614961
"hipEventCreate",5,3044,608,0.00045854592192869743
"hipGetDeviceProperties",1,1553,1553,0.00023394277817190113
"hipSetDevice",5,591,118,8.902780547301583e-05
"hipGetDeviceCount",2,250,125,3.765981618993901e-05
"hipInit",1,190,190,2.862146030435365e-05
