"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","arch_vgpr","accum_vgpr","sgpr","wave_size","sig","obj","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
0,"__amd_rocclr_fillBufferAligned.kd",1,1,0,15856,15856,32768,256,0,0,8,0,128,32,"0x0","0x7fc30ea4d9c0",2919563902387,2919563959113,2919563987367,2919563993429,28254
1,"__amd_rocclr_fillBufferAligned.kd",1,1,1,15856,15856,32768,256,0,0,8,0,128,32,"0x0","0x7fc30ea4d9c0",2919563942072,2919563999710,2919564008567,2919564141598,8857
2,"__amd_rocclr_fillBufferAligned.kd",1,1,2,15856,15856,32768,256,0,0,8,0,128,32,"0x0","0x7fc30ea4d9c0",2919563949897,2919564016341,2919564025238,2919564134004,8897
3,"__amd_rocclr_fillBufferAligned.kd",1,1,3,15856,15856,32768,256,0,0,8,0,128,32,"0x0","0x7fc30ea4d9c0",2919563958002,2919564033093,2919564041990,2919564125688,8897
4,"__amd_rocclr_fillBufferAligned.kd",1,1,4,15856,15856,32768,256,0,0,8,0,128,32,"0x0","0x7fc30ea4d9c0",2919563968031,2919564049965,2919564058982,2919564114547,9017
5,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,1,15856,15856,65536,256,0,0,24,0,128,32,"0x0","0x7fc30e66cb80",2919564533798,2919564550839,2919564571759,2919564574625,20920
6,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,3,15856,15856,65536,256,0,0,24,0,128,32,"0x0","0x7fc30e66cb80",2919564592148,2919564615662,2919564633014,2919564635059,17352
7,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,5,15856,15856,65536,256,0,0,24,0,128,32,"0x0","0x7fc30e66cb80",2919564652291,2919564664634,2919564682989,2919564684843,18355
8,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,7,15856,15856,65536,256,0,0,24,0,128,32,"0x0","0x7fc30e66cb80",2919564701755,2919564712805,2919564731761,2919564733565,18956
9,"__amd_rocclr_copyBufferRectAligned.kd",1,2,9,15856,15856,16384,256,0,0,16,0,128,32,"0x0","0x7fc30ea4db00",2919564725349,2919564748672,2919564763901,2919564766787,15229
10,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,10,15856,15856,65536,256,0,0,24,0,128,32,"0x0","0x7fc30e66cb80",2919564748042,2919564770193,2919564800370,2919564806242,30177
11,"__amd_rocclr_copyBufferRectAligned.kd",1,3,0,15856,15856,16384,256,0,0,16,0,128,32,"0x0","0x7fc30ea4db00",2919564763451,2919564774722,2919564794599,2919564797796,19877
12,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,13,15856,15856,65536,256,0,0,24,0,128,32,"0x0","0x7fc30e66cb80",2919564831660,2919564846767,2919564876223,2919564877757,29456
13,"__amd_rocclr_copyBufferRectAligned.kd",1,3,1,15856,15856,16384,256,0,0,16,0,128,32,"0x0","0x7fc30ea4db00",2919564846948,2919564858269,2919564876984,2919564881514,18715
14,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,15,15856,15856,65536,256,0,0,24,0,128,32,"0x0","0x7fc30e66cb80",2919564903074,2919564920316,2919564950854,2919564952367,30538
15,"__amd_rocclr_copyBufferRectAligned.kd",1,0,0,15856,15856,16384,256,0,0,16,0,128,32,"0x0","0x7fc30ea4db00",2919564921589,2919564933301,2919564953138,2919564956846,19837
16,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,17,15856,15856,65536,256,0,0,24,0,128,32,"0x0","0x7fc30e66cb80",2919564965302,2919564979868,2919565013732,2919565015266,33864
17,"__amd_rocclr_copyBufferRectAligned.kd",1,1,6,15856,15856,16384,256,0,0,16,0,128,32,"0x0","0x7fc30ea4db00",2919564979789,2919564990809,2919565013732,2919565019033,22923
18,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,19,15856,15856,65536,256,0,0,24,0,128,32,"0x0","0x7fc30e66cb80",2919565030234,2919565043308,2919565062184,2919565065471,18876
19,"__amd_rocclr_copyBufferRectAligned.kd",1,2,21,15856,15856,16384,256,0,0,16,0,128,32,"0x0","0x7fc30ea4db00",2919565043659,2919565079216,2919565091399,2919565102861,12183
20,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,22,15856,15856,65536,256,0,0,24,0,128,32,"0x0","0x7fc30e66cb80",2919565079587,2919565098132,2919565124581,2919565126065,26449
21,"__amd_rocclr_copyBufferRectAligned.kd",1,3,4,15856,15856,16384,256,0,0,16,0,128,32,"0x0","0x7fc30ea4db00",2919565100076,2919565109834,2919565125423,2919565130012,15589
22,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,25,15856,15856,65536,256,0,0,24,0,128,32,"0x0","0x7fc30e66cb80",2919565160810,2919565176790,2919565210373,2919565217778,33583
23,"__amd_rocclr_copyBufferRectAligned.kd",1,3,5,15856,15856,16384,256,0,0,16,0,128,32,"0x0","0x7fc30ea4db00",2919565174085,2919565185045,2919565207728,2919565209332,22683
24,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,27,15856,15856,65536,256,0,0,24,0,128,32,"0x0","0x7fc30e66cb80",2919565233347,2919565249216,2919565285685,2919565290285,36469
25,"__amd_rocclr_copyBufferRectAligned.kd",1,0,2,15856,15856,16384,256,0,0,16,0,128,32,"0x0","0x7fc30ea4db00",2919565247975,2919565259716,2919565284563,2919565286217,24847
26,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,29,15856,15856,65536,256,0,0,24,0,128,32,"0x0","0x7fc30e66cb80",2919565302197,2919565315381,2919565352211,2919565357401,36830
27,"__amd_rocclr_copyBufferRectAligned.kd",1,1,8,15856,15856,16384,256,0,0,16,0,128,32,"0x0","0x7fc30ea4db00",2919565315472,2919565326522,2919565351610,2919565353163,25088
28,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,31,15856,15856,65536,256,0,0,24,0,128,32,"0x0","0x7fc30e66cb80",2919565368352,2919565381426,2919565407194,2919565408548,25768
29,"__amd_rocclr_copyBufferRectAligned.kd",1,2,33,15856,15856,16384,256,0,0,16,0,128,32,"0x0","0x7fc30ea4db00",2919565381867,2919565422503,2919565435528,2919565439546,13025
30,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,34,15856,15856,65536,256,0,0,24,0,128,32,"0x0","0x7fc30e66cb80",2919565421833,2919565441980,2919565471596,2919565473240,29616
31,"__amd_rocclr_copyBufferRectAligned.kd",1,3,8,15856,15856,16384,256,0,0,16,0,128,32,"0x0","0x7fc30ea4db00",2919565435258,2919565446669,2919565466266,2919565468220,19597
32,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,37,15856,15856,65536,256,0,0,24,0,128,32,"0x0","0x7fc30e66cb80",2919565506783,2919565517843,2919565547018,2919565549243,29175
33,"__amd_rocclr_copyBufferRectAligned.kd",1,3,9,15856,15856,16384,256,0,0,16,0,128,32,"0x0","0x7fc30ea4db00",2919565520178,2919565532270,2919565550384,2919565553140,18114
34,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,39,15856,15856,65536,256,0,0,24,0,128,32,"0x0","0x7fc30e66cb80",2919565574220,2919565680931,2919565699806,2919565701580,18875
35,"__amd_rocclr_copyBufferRectAligned.kd",1,0,4,15856,15856,16384,256,0,0,16,0,128,32,"0x0","0x7fc30ea4db00",2919565690449,2919565703173,2919565723812,2919565725305,20639
36,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,2,41,15856,15856,65536,256,0,0,24,0,128,32,"0x0","0x7fc30e66cb80",2919565734773,2919565751193,2919565788824,2919565793934,37631
37,"__amd_rocclr_copyBufferRectAligned.kd",1,1,10,15856,15856,16384,256,0,0,16,0,128,32,"0x0","0x7fc30ea4db00",2919565749491,2919565761653,2919565788223,2919565789736,26570
