"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipMemset",6,393827600,65637933,57.87153027713629
"hipStreamCreateWithFlags",6,197258195,32876365,28.986372728462285
"hipHostMalloc",1,45822900,45822900,6.733508125728589
"hipStreamSynchronize",2560,17449481,6816,2.5641376277635555
"hipHostFree",1,10539273,10539273,1.5487077505957048
"hipLaunchKernel",640,5000275,7812,0.7347721847237412
"hipMemcpy3DAsync",637,4318391,6779,0.6345718164623628
"hipEventRecord",640,3250171,5078,0.4776007812361813
"hipStreamDestroy",6,1022238,170373,0.1502141479353891
"hipMemcpy",1,705059,705059,0.10360585003607525
"hipMalloc",6,650818,108469,0.09563533280020314
"hipStreamWaitEvent",637,439044,689,0.06451591543862091
"__hipPushCallConfiguration",640,55031,85,0.008086604856239346
"hipFree",6,52769,8794,0.007754212201466338
"hipDeviceSynchronize",3,49963,16654,0.007341880729630326
"__hipPopCallConfiguration",640,40684,63,0.005978365502557496
"hipGetLastError",640,28064,43,0.004123902503779707
"hipDeviceReset",2,6021,3010,0.0008847640028241737
"hipEventCreate",5,1592,318,0.00023393859699320454
"hipGetDeviceProperties",1,1413,1413,0.00020763519946695856
"hipSetDevice",5,610,122,8.963727648608969e-05
"hipInit",1,471,471,6.921173315565286e-05
"hipGetDeviceCount",2,390,195,5.7309078409139305e-05
