"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hsa_amd_memory_pool_allocate",17,44563177,2621363,52.65246350355046
"hsa_amd_memory_pool_free",19,10335822,543990,12.212021836643153
"hsa_signal_wait_scacquire",709,10325859,14563,12.200250312950264
"hsa_queue_create",4,7590697,1897674,8.96859074385585
"hsa_signal_store_screlease",2567,7232750,2817,8.545667769721726
"hsa_amd_agents_allow_access",11,824585,74962,0.974266974234695
"hsa_amd_signal_async_handler",648,722280,1114,0.8533911605840945
"hsa_signal_load_relaxed",12399,635624,51,0.751005016136546
"hsa_amd_memory_async_copy",1,627092,627092,0.7409242532992758
"hsa_executable_load_agent_code_object",2,362453,181226,0.42824692131470726
"hsa_executable_freeze",2,338377,169188,0.39980054929523745
"hsa_signal_create",255,317029,1243,0.3745773747699159
"hsa_queue_load_read_index_scacquire",2567,116479,45,0.13762273494167737
"hsa_queue_add_write_index_screlease",2567,113461,44,0.13405689548517463
"hsa_queue_load_read_index_relaxed",2567,98790,38,0.11672275676206276
"hsa_amd_profiling_get_dispatch_time",640,84955,132,0.10037637210973825
"hsa_agent_get_info",60,71606,1193,0.08460420812535951
"hsa_signal_silent_store_relaxed",1286,59931,46,0.07080991533057175
"hsa_isa_get_info_alt",2,46267,23133,0.05466557128363557
"hsa_executable_iterate_symbols",16,43190,2699,0.05103002191065382
"hsa_code_object_reader_create_from_memory",2,41539,20769,0.04907932577324957
"hsa_signal_destroy",207,25557,123,0.030196209075493856
"hsa_iterate_agents",1,20508,20508,0.0242306943585017
"hsa_executable_symbol_get_info",264,10371,39,0.012253585488200758
"hsa_amd_pointer_info",4,7795,1948,0.00920997964328656
"hsa_executable_create_alt",2,6623,3311,0.007825233505771249
"hsa_amd_profiling_async_copy_enable",7,3899,557,0.004606762107655458
"hsa_amd_agent_iterate_memory_pools",3,3556,1185,0.004201499372870687
"hsa_executable_get_symbol_by_name",16,3186,199,0.0037643354898667064
"hsa_amd_memory_pool_get_info",12,900,75,0.0010633716073069792
"hsa_amd_agent_memory_pool_get_info",5,682,136,0.0008057993735370665
"hsa_amd_profiling_set_profiler_enabled",4,510,127,0.0006025772441406215
"hsa_agent_iterate_isas",1,371,371,0.00043834540701209924
"hsa_system_get_major_extension_table",1,280,280,0.00033082672227328246
"hsa_system_get_info",3,251,83,0.0002965625260378353
"hsa_dispatch",1282,0,0,0.0
