"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","arch_vgpr","accum_vgpr","sgpr","wave_size","sig","obj","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
0,"__amd_rocclr_fillBufferAligned.kd",1,0,0,25599,25599,32768,256,0,0,8,0,128,32,"0x0","0x7f61b1a3d780",11705710881128,11705710923578,11705710937724,11705710940750,14146
1,"__amd_rocclr_fillBufferAligned.kd",1,0,1,25599,25599,32768,256,0,0,8,0,128,32,"0x0","0x7f61b1a3d780",11705710916284,11705710943655,11705710950508,11705711007606,6853
2,"__amd_rocclr_fillBufferAligned.kd",1,0,2,25599,25599,32768,256,0,0,8,0,128,32,"0x0","0x7f61b1a3d780",11705710922015,11705710956319,11705710964895,11705710998790,8576
3,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,0,3,25599,25599,65536,256,0,0,24,0,128,32,"0x0","0x7f61b1a2ab80",11705711257767,11705711269810,11705711289126,11705711292533,19316
4,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,0,4,25599,25599,65536,256,0,0,24,0,128,32,"0x0","0x7f61b1a2ab80",11705711287113,11705711299856,11705711304465,11705711304626,4609
5,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,0,5,25599,25599,65536,256,0,0,24,0,128,32,"0x0","0x7f61b1a2ab80",11705711301249,11705711306429,11705711310556,11705711310837,4127
6,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,0,7,25599,25599,65536,256,0,0,24,0,128,32,"0x0","0x7f61b1a2ab80",11705711683509,11705711693227,11705711711582,11705711712243,18355
7,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,0,9,25599,25599,65536,256,0,0,24,0,128,32,"0x0","0x7f61b1a2ab80",11705711758601,11705711765383,11705711778167,11705711778648,12784
8,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,0,11,25599,25599,65536,256,0,0,24,0,128,32,"0x0","0x7f61b1a2ab80",11705711834123,11705711840434,11705711855583,11705711855804,15149
9,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,0,13,25599,25599,65536,256,0,0,24,0,128,32,"0x0","0x7f61b1a2ab80",11705711904295,11705711910546,11705711924092,11705711924413,13546
10,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,0,15,25599,25599,65536,256,0,0,24,0,128,32,"0x0","0x7f61b1a2ab80",11705711972634,11705711978875,11705711991980,11705711992231,13105
11,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,0,17,25599,25599,65536,256,0,0,24,0,128,32,"0x0","0x7f61b1a2ab80",11705712039800,11705712045070,11705712093561,11705712093852,48491
12,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,0,19,25599,25599,65536,256,0,0,24,0,128,32,"0x0","0x7f61b1a2ab80",11705712148194,11705712153995,11705712183130,11705712183341,29135
13,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,0,21,25599,25599,65536,256,0,0,24,0,128,32,"0x0","0x7f61b1a2ab80",11705712245648,11705712251659,11705712301152,11705712301994,49493
14,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,0,23,25599,25599,65536,256,0,0,24,0,128,32,"0x0","0x7f61b1a2ab80",11705712349273,11705712357418,11705712425146,11705712425777,67728
15,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,0,25,25599,25599,65536,256,0,0,24,0,128,32,"0x0","0x7f61b1a2ab80",11705712475030,11705712481652,11705712535153,11705712535744,53501
16,"wave2d_4o(float*, float*, float*, float*, unsigned long, unsigned long, float, float, float, unsigned long, unsigned long, float) [clone .kd]",1,0,27,25599,25599,65536,256,0,0,24,0,128,32,"0x0","0x7f61b1a2ab80",11705712591229,11705712596869,11705712630733,11705712630944,33864
