"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipMemcpy",641,188055128,293377,97.84499886119436
"hipLaunchKernel",640,3839400,5999,1.9976381001834187
"hipMalloc",4,88162,22040,0.04587064910881142
"hipMemset",3,53903,17967,0.028045706754749912
"__hipPopCallConfiguration",640,47931,74,0.024938477829840974
"__hipPushCallConfiguration",640,45152,70,0.023492565374663155
"hipFree",4,26851,6712,0.013970563272392815
"hipGetLastError",640,26218,40,0.013641213655938133
"hipDeviceReset",2,8197,4098,0.004264895428244903
"hipDeviceSynchronize",3,2807,935,0.0014604808426355305
"hipGetDeviceProperties",1,1403,1403,0.0007299802715417347
"hipSetDevice",5,1382,276,0.0007190539809484515
"hipGetDeviceCount",2,260,130,0.00013527788353588811
"hipInit",1,181,181,9.417421892306057e-05
