"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hsa_signal_wait_scacquire",1277,59624138,46690,83.97181542619688
"hsa_queue_create",1,6298376,6298376,8.870334812333693
"hsa_signal_store_screlease",1281,1562563,1219,2.200639811812533
"hsa_amd_memory_async_copy",638,1351247,2117,1.903032353762536
"hsa_amd_memory_pool_allocate",8,449094,56136,0.6324827451092453
"hsa_signal_load_relaxed",7657,365311,47,0.5144867312825455
"hsa_executable_freeze",2,329449,164724,0.4639803869423679
"hsa_amd_pointer_info",2552,255373,100,0.3596552527238914
"hsa_executable_load_agent_code_object",2,236375,118187,0.332899368228473
"hsa_signal_silent_store_relaxed",1276,70073,54,0.09868749838127462
"hsa_queue_add_write_index_screlease",1281,68638,53,0.09666651226426623
"hsa_queue_load_read_index_scacquire",1281,59105,46,0.08324068602493452
"hsa_queue_load_read_index_relaxed",1281,58667,45,0.08262382754462115
"hsa_amd_memory_pool_free",5,53822,10764,0.07580035873841512
"hsa_executable_iterate_symbols",16,44654,2790,0.06288858123267788
"hsa_agent_get_info",60,39240,654,0.055263759743142384
"hsa_code_object_reader_create_from_memory",2,33125,16562,0.04665168301456655
"hsa_amd_agents_allow_access",4,32832,8208,0.046239035674996196
"hsa_signal_create",39,18248,467,0.025699619974333898
"hsa_isa_get_info_alt",2,15494,7747,0.021821016652911522
"hsa_executable_symbol_get_info",264,11279,42,0.015884810044416487
"hsa_executable_create_alt",2,10962,5481,0.015438362240171427
"hsa_iterate_agents",1,4773,4773,0.006722067412181921
"hsa_amd_agent_iterate_memory_pools",3,4504,1501,0.006343220537286271
"hsa_executable_get_symbol_by_name",16,3091,193,0.004353218179563025
"hsa_signal_destroy",2,831,415,0.0011703410893616545
"hsa_amd_memory_pool_get_info",14,815,58,0.0011478074462451845
"hsa_amd_memory_copy_engine_status",2,761,380,0.0010717564007270987
"hsa_amd_agent_memory_pool_get_info",7,582,83,0.0008196612683615919
"hsa_amd_signal_async_handler",1,432,432,0.0006084083641446868
"hsa_agent_iterate_isas",1,390,390,0.0005492575509639533
"hsa_system_get_info",3,284,94,0.0003999721653173404
"hsa_system_get_major_extension_table",1,255,255,0.00035912993716873874
"hsa_amd_profiling_set_profiler_enabled",1,158,158,0.00022251972577514006
"hsa_dispatch",643,0,0,0.0
